datetime,assim_c,ddage,mgl,mo,RM,tempRM,RMpr,fgl,fr,fo,fggl,fgr,fgo,GT,available,gr_gl,gr_r,gr_o,gr_dl,wgl,wr,wo,maint,rootd
2017-11-29 22:00:00,2.5951767614673584,0.0,11.272666263425709,0.0,11.272666263425709,0.46969442764273783,0.46969442764273783,0.9225423000997706,0.07745769990022947,0.0,1.3496793850459643,0.11184891865593134,0.0,1.4615283037018956,1.2216014947438516,1.1269790527663106,0.094622441977541,0.0,0.0,376.8825211669566,32.064467642603496,0.0,1.3735752667235068,0.8514999999999616
2017-11-29 23:00:00,2.5951767614673584,0.0,11.306475635008699,0.0,11.306475635008699,0.47110315145869575,0.47110315145869575,0.9225459745913196,0.07745402540868049,0.0,1.3496847608271005,0.11184361269013463,0.0,1.461528373517235,1.2207917853236505,1.1262365473644842,0.09455523795916644,0.0,0.0,378.0087577143211,32.15902288056266,0.0,1.374384976143708,0.8519999999999616
2017-11-30 00:00:00,2.5951767614673584,0.0,11.340262731429632,0.0,11.340262731429632,0.4725109471429013,0.4725109471429013,0.9225496506820163,0.07745034931798377,0.0,1.34969013894779,0.11183830441516855,0.0,1.4615284433629585,1.2199826093906136,1.1254945301314454,0.09448807925916837,0.0,0.0,379.13425224445257,32.25351095982183,0.0,1.3751941520767448,0.8524999999999615
2017-11-30 01:00:00,2.5951767614673584,0.0,11.374027567333577,0.0,11.374027567333577,0.4739178153055657,0.4739178153055657,0.9225533283718608,0.0774466716281393,0.0,1.3496955194080325,0.11183299383103315,0.0,1.4615285132390656,1.2191739665940018,1.1247530007456201,0.09442096584838172,0.0,0.0,380.2590052451982,32.34793192567021,0.0,1.3760027948733566,0.8529999999999615
2017-11-30 02:00:00,2.5951767614673584,0.0,11.407770157355944,0.0,11.407770157355944,0.47532375655649767,0.47532375655649767,0.9225570076608529,0.0774429923391471,0.0,1.349700902207828,0.11182768093772841,0.0,1.4615285831455562,1.218365856583307,1.1240119588856476,0.09435389769765945,0.0,0.0,381.38301720408384,32.44228582336787,0.0,1.3768109048840513,0.8534999999999614
2017-11-30 03:00:00,2.5951767614673584,0.0,11.441490516122515,0.0,11.441490516122515,0.4767287715051048,0.4767287715051048,0.9225606885489929,0.07743931145100717,0.0,1.3497062873471766,0.11182236573525435,0.0,1.461528653082431,1.217558279008252,1.1232714042303797,0.09428687477787231,0.0,0.0,382.5062886083142,32.53657269814574,0.0,1.3776184824591065,0.8539999999999613
2017-11-30 04:00:00,2.5951767614673584,0.0,11.475188658249426,0.0,11.475188658249426,0.47813286076039274,0.47813286076039274,0.9225643710362805,0.0774356289637195,0.0,1.3497116748260785,0.11181704822361095,0.0,1.4615287230496894,1.2167512335187896,1.1225313364588805,0.094219897059909,0.0,0.0,383.6288199447731,32.63079259520565,0.0,1.3784255279485689,0.8544999999999613
2017-11-30 05:00:00,2.5951767614673584,0.0,11.508864598343193,0.0,11.508864598343193,0.47953602493096636,0.47953602493096636,0.922568055122716,0.0774319448772841,0.0,1.3497170646445336,0.11181172840279822,0.0,1.4615287930473317,1.2159447197651045,1.1217917552504284,0.09415296451467624,0.0,0.0,384.75061170002357,32.724945559720325,0.0,1.3792320417022539,0.8549999999999612
2017-11-30 06:00:00,2.5951767614673584,0.0,11.542518351000707,0.0,11.542518351000707,0.4809382646250294,0.4809382646250294,0.9225717408082991,0.07742825919170095,0.0,1.3497224568025417,0.11180640627281616,0.0,1.4615288630753578,1.215138737397611,1.1210526602845126,0.09408607711309845,0.0,0.0,385.8716643603081,32.81903163683342,0.0,1.3800380240697474,0.8554999999999612
2017-11-30 07:00:00,2.5951767614673584,0.0,11.576149930809242,0.0,11.576149930809242,0.48233958045038505,0.48233958045038505,0.92257542809303,0.07742457190697007,0.0,1.349727851300103,0.11180108183366477,0.0,1.4615289331337677,1.2143332860669538,1.1203140512408356,0.09401923482611811,0.0,0.0,386.9919784115489,32.91305087165954,0.0,1.3808434754004046,0.8559999999999611
